,Country name,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regional indicator
860,New Zealand,2021,10.643,0.948,73.4,0.929,0.134,0.242,0.8458571428571428,0.19985714285714287,North America and ANZ
873,United States,2021,11.023,0.92,68.2,0.837,0.098,0.698,0.8274999999999999,0.2637857142857143,North America and ANZ
886,Afghanistan,2021,7.695,0.463,52.493,0.382,-0.102,0.924,0.5486666666666666,0.3265,South Asia
897,Bangladesh,2021,8.454,0.693,64.8,0.877,-0.041,0.682,0.6215,0.26753333333333335,South Asia
912,India,2021,8.755,0.603,60.633,0.893,0.089,0.774,0.6866666666666668,0.3075333333333334,South Asia
927,Nepal,2021,8.12,0.774,64.233,0.782,0.152,0.727,0.6313571428571428,0.26921428571428574,South Asia
940,Pakistan,2021,8.458,0.651,58.709,0.726,0.098,0.787,0.6200769230769231,0.3298571428571429,South Asia
952,Sri Lanka,2021,9.47,0.827,67.299,0.841,0.079,0.863,0.8100769230769231,0.21638461538461537,South Asia
963,Cambodia,2021,8.36,0.765,62.0,0.959,0.034,0.843,0.8028571428571428,0.37246666666666667,Southeast Asia
978,Indonesia,2021,9.365,0.811,62.236,0.873,0.542,0.867,0.8522857142857143,0.2631428571428572,Southeast Asia
991,Laos,2021,8.947,0.728,58.968,0.91,0.123,0.658,0.8686666666666666,0.27255555555555555,Southeast Asia
998,Malaysia,2021,10.238,0.817,67.102,0.895,0.125,0.839,0.8072499999999999,0.21225000000000002,Southeast Asia
1008,Myanmar,2021,8.541,0.779,59.302,0.876,0.509,0.66,0.797,0.25166666666666665,Southeast Asia
1017,Philippines,2021,9.076,0.83,62.0,0.917,-0.097,0.742,0.8149333333333334,0.3417857142857143,Southeast Asia
1032,Singapore,2021,11.488,0.915,76.953,0.927,-0.018,0.082,0.7157692307692307,0.16346153846153846,Southeast Asia
1043,Thailand,2021,9.805,0.888,67.401,0.884,0.287,0.895,0.8493333333333334,0.18386666666666668,Southeast Asia
1058,Vietnam,2021,8.973,0.85,68.034,0.94,-0.098,0.796,0.6453846153846154,0.20661538461538462,Southeast Asia
1069,Angola,2021,8.981,0.7326666666666667,0.7326666666666667,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334,Sub-Saharan Africa
1072,Benin,2021,8.087,0.489,54.713,0.757,-0.034,0.661,0.6168333333333333,0.3376666666666667,Sub-Saharan Africa
1082,Bhutan,2021,9.145,0.8494999999999999,0.8494999999999999,0.8220000000000001,0.8220000000000001,0.8220000000000001,0.8220000000000001,0.8220000000000001,Sub-Saharan Africa
1084,Botswana,2021,9.782,0.784,59.269,0.824,-0.246,0.801,0.7102499999999999,0.2304166666666667,Sub-Saharan Africa
1093,Burkina Faso,2021,7.678,0.672,54.151,0.695,-0.009,0.748,0.6176923076923077,0.298,Sub-Saharan Africa
1104,Burundi,2021,6.635,0.49,53.4,0.626,-0.024,0.607,0.6184000000000001,0.24420000000000003,Sub-Saharan Africa
1105,Cameroon,2021,8.189,0.71,53.515,0.731,0.026,0.848,0.6270666666666667,0.30360000000000004,Sub-Saharan Africa
